rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
398,VaultCoin,VAULT,"$2,895.42",$1.9284,"1,501 VAULT",$144.35,-37.15%
399,FireFlyCoin,FFC,"$2,804.43",$0.00003024,"92,727,600 FFC",$7.5237,17.59%
400,Techcoin,TECH,"$2,769.25",$0.01474,"187,824 TECH",$13.89,-32.08%
401,Kumacoin,KUMA,"$2,759.93",$0.00001512,"182,512,440 KUMA",$0.09826,-14.96%
402,RedCoin,RED,"$2,650.16",$0.0006514,"4,068,638 RED",$112.84,29.72%
403,Spots,SPT,"$2,648.53",$0.0002004,"13,218,529 SPT",$5.1913,0.99%
404,RotoCoin,RT2,"$2,545.95",$0.03905,"65,194 RT2",$0.4643,-3.38%
405,Lightspeed,LSD,"$2,525.67",$0.003289,"767,911 LSD",$1.1121,26.01%
406,ConcealCoin,CNL,"$2,460.03",$0.0002454,"10,026,047 CNL",$0.08952,--
407,KashmirCoin,KSC,"$2,455.97",$34.02,72 KSC,$0.03402,12.94%
408,DogeBlackCoin,DOGEBC,"$2,345.10",$0.00000756,"310,160,050 DOGEBC",$14.16,-31.87%
409,Triangles,TRI,"$2,338.84",$0.04726,"49,493 TRI",$102.51,-15.80%
410,Monocle,MON,"$2,241.53",$0.001138,"1,969,847 MON",$1.1623,2.90%
411,Motocoin,MOTO,"$2,213.48",$0.0004915,"4,503,880 MOTO",$2.8895,-46.32%
412,UroDarkCoin,UROD,"$2,212.35",$0.001361,"1,625,569 UROD",$11.50,60.74%
413,Global Denomination,GDN,"$2,192.42",$0.0002949,"7,435,040 GDN",$7.0602,21.30%
414,ProsperCoin,PRC,"$2,143.91",$0.002362,"907,770 PRC",$4.4990,-35.24%
415,NewWorldOrderCoin,NWO,"$2,046.87",$0.001826,"1,120,976 NWO",$36.79,--
416,Judgecoin,JUDGE,"$2,006.99",$0.0001739,"11,540,949 JUDGE",$0.0002774,2.23%
417,Lycancoin,LYC,"$1,949.47",$0.00000756,"257,833,791 LYC",$13.10,2.90%
418,Heisenberg,HEX,"$1,894.92",$0.00000015,"12,473,553,843 HEX",$2.5900,64.77%
419,UCoin,U,"$1,893.39",$0.0009791,"1,933,726 U",$31.92,-60.46%
420,Emucoin,EMU,"$1,886.44",$0.00000004,"43,319,049,189 EMU",$1.8111,-3.53%
421,Ruble,RUBLE,"$1,865.94",$0.001134,"1,645,244 RUBLE",$44.99,79.47%
422,Conspiracycoin,CYC,"$1,851.06",$0.0003818,"4,847,895 CYC",$177.86,160.10%
423,Cashcoin,CASH,"$1,824.07",$0.0004007,"4,551,861 CASH",$9.6280,6.88%
424,Nyancoin,NYAN,"$1,779.67",$0.00001118,"159,171,141 NYAN",$15.31,-79.35%
425,ImperialCoin,IPC,"$1,728.78",$0.00003259,"53,052,000 IPC",$20.74,-24.86%
426,ShadeCoin,SHADE,"$1,714.88",$0.001012,"1,694,985 SHADE",$2.2198,12.07%
427,Hirocoin,HIRO,"$1,688.52",$0.0000189,"89,328,800 HIRO",$10.91,-12.01%
428,ZimStake,ZS,"$1,661.50",$0.0004244,"3,914,607 ZS",$0.005942,--
429,BurnerCoin,BURN,"$1,657.63",$0.0007599,"2,181,453 BURN",$0.7791,43.99%
430,CoffeeCoin,CFC,"$1,642.09",$0.00001134,"144,787,028 CFC",$0.07071,-22.03%
431,VirtualMiningCoin,VMC,"$1,628.68",$0.00002646,"61,544,896 VMC",$16.56,--
432,PHCoin,PHC,"$1,620.64",$0.000121,"13,396,450 PHC",$0.1936,--
433,Ekrona,KRN,"$1,620.54",$0.0003894,"4,161,760 KRN",$2.4886,-10.98%
434,RipoffCoin,RIPO,"$1,595.36",$0.0002423,"6,583,400 RIPO",$46.55,-3.53%
435,Solecoin,SOLE,"$1,583.71",$0.00124,"1,277,194 SOLE",$0.0006098,-10.71%
436,1Coin,ONE,"$1,481.11",$0.00378,"391,779 ONE",$4.9729,-6.78%
437,Bongger,BGR,"$1,456.03",$0.00000619,"235,351,560 BGR",$0.01776,2.19%
438,GanjaCoin,MRJA,"$1,441.11",$0.0006616,"2,178,282 MRJA",$11.67,28.02%
439,TacoCoin,TCO,"$1,418.99",$0.00002905,"48,851,375 TCO",$0.001148,-7.50%
440,MugatuCoin,MUGA,"$1,392.10",$0.000691,"2,014,591 MUGA",$0.3208,-2.37%
441,DarkShibe,DSB,"$1,347.25",$0.001084,"1,242,516 DSB",$5.3600,38.98%
